@   SCF1  @
@   Adapted from Thad W. Mirer, "Economic Statistics and Econometrics" @
@   3d ed. (New York: Macmillan, 1995), pp. 17-22.                     @
@    V1 = identification number                              @
@    V2 = family size                                        @
@    V3 = education (years)                                  @
@    V4 = age (years)                                        @
@    V5 = experience (years)                                 @
@    V6 = annual number of months worked                     @
@    V7 = race (coded 1 if white, 2 if black)                @
@    V8 = region of residence (coded 1 if northeast,         @
@         2 if northcentral, 3 if south, 4 if west )         @
@    V9 = wage and salary earnings (in thousands of dollars) @
@   V10 = family income (in thousands of dollars)            @
@   V11 = wealth (in thousands of dollars)                   @
@   V12 = savings (in thousands of dollars)                  @

@ V1  V2    V3    V4    V5    V6  V7  V8     V9       V10      V11     V12 @
  65   6    12    29    12    12   1   1    8.600    8.632   14.194    0.984
  66   2    12    27    10    12   1   3    7.899    8.385   13.662   -0.076
  67   5    10    37    22    12   1   4    5.048    5.403    0.159    0.902
  68   2    12    52    35    12   1   2    4.133    8.573   21.700   10.733
  69   3    12    32    15    12   1   3    6.500    6.516    1.180    0.716
  70   4    12    35    18    12   1   2    6.000    6.000    5.900    0.200
  71   3    13    31    13    12   1   4   10.116   16.778    2.531    0.006
  72   5     9    36    22    10   1   1    6.000    9.504   44.461    1.464
  73   6    16    34    13    12   1   4    8.950    8.953    4.863    0.948
  74   3    12    54    37    12   1   4    4.952    8.703    8.534    0.835
  75   4    12    52    35    10   1   1    8.681   12.667   26.085   -2.883
  76   6     9    28    14    12   1   2    6.500    6.504    3.775    0.298
  77   6    12    44    27    12   1   4    7.668    8.180    3.032    0.481
  78   4    17    29     7    12   1   2   11.600   11.600    2.167    5.033
  79   4     9    50    36     7   1   3    3.100    5.602    5.072   -0.111
  80   4     8    50    37    12   1   3    4.586   10.390    4.100    0.000
  81   4    16    44    23    12   1   2   27.000   30.610   51.892    4.115
  82   4     9    34    20     9   1   1    1.500    3.941    1.260    2.575
  83   7    10    39    24    12   1   3    1.789    2.936   17.128   -0.112
  84   5    12    39    22    12   1   4   11.068   11.068   11.542   -5.577
  85   4    14    29    10    12   1   4    8.338    8.338    2.272    2.750
  86   3     8    38    25    12   1   3    2.943    6.683    6.100    0.095
  87   5    10    30    15    12   1   1    7.212    7.212    0.857    1.348
  88   3    10    50    35    12   1   1    7.500   10.411    3.678    0.178
  89   2     8    33    20    12   1   3    5.250    8.850    1.650   -0.695
  90   4     9    35    21    12   1   1    5.066    8.334    2.143    0.787
  91   3    16    36    15    12   1   2   12.848   13.923   18.182    4.642
  92   4    12    33    16    12   1   2    6.214    6.214    0.275    1.260
  93   6    20    38    13    12   1   1   12.202   12.323   28.953    2.687
  94   4    12    46    29    12   1   2    8.190   14.963   11.230    0.720
  95   4    16    50    29    12   1   2    7.200   10.060   25.462    5.109
  96   2    16    54    33    12   1   1   30.000   32.080   98.033    1.800
  97   5    12    31    14    12   1   2    9.190    9.260    5.539    1.684
  98   2    18    27     4    12   1   2    7.500   10.450    2.860    1.475
  99   5    12    40    23    12   1   3    7.852    9.138   11.197    0.566
 100   6    18    34    11    12   1   1   12.000   12.350   30.906   25.405 ;
